ランキング,タイトル,総合得点(点),評価件数(件),お気に入り人数(人),評価,物語,作画,声優,音楽,キャラ,ジャンル,放送時期,制作会社,声優陣
449,そらのおとしものf [フォルテ]（TVアニメ動画）,79.1,1396,8226,3.9,3.8,3.9,3.8,3.7,4.1,TVアニメ動画,2010年秋アニメ,AIC,保志総一朗、早見沙織、美名、鈴木達央、高垣彩陽、野水伊織、福原香織
450,異世界魔王と召喚少女の奴隷魔術（TVアニメ動画）,79.1,718,3534,3.5,3.3,3.6,3.6,3.3,3.6,TVアニメ動画,2018年夏アニメ,亜細亜堂,水中雅章、芹澤優、和氣あず未、原由実、大久保瑠美、加藤英美里、種﨑敦美、森嶋優花、千本木彩花、置鮎龍太郎、石田彰、大塚明夫
451,私に天使が舞い降りた！（TVアニメ動画）,79.1,530,2073,3.8,3.7,3.9,3.9,3.7,4.0,TVアニメ動画,2019年冬アニメ,動画工房,上田麗奈、指出毬亜、長江里加、鬼頭明里、大和田仁美、大空直美
452,プリンセス・プリンシパル Crown Handler 第1章（アニメ映画）,79.0,44,294,4.4,4.2,4.5,4.4,4.4,4.4,アニメ映画,2021年2月11日,アクタス,古賀葵、関根明良、大地葉、影山灯、古木のぞみ、菅生隆之、沢城みゆき、山崎たくみ、土師孝也、飯田友子、飛田展男、本田裕之
453,生徒会役員共＊（第2期）（TVアニメ動画）,79.0,1441,9146,3.8,3.7,3.7,4.0,3.6,4.0,TVアニメ動画,2014年冬アニメ,GoHands,浅沼晋太郎、日笠陽子、佐藤聡美、矢作紗友里、下田麻美、小林ゆう、小見川千明、新井里美、加藤英美里、田村睦心、椎名へきる、斎藤千和、日野未歩、平野文
454,劇場版　あの日見た花の名前を僕達はまだ知らない。（アニメ映画）,79.0,1518,9077,4.0,3.8,4.0,4.1,4.1,4.1,アニメ映画,2013年8月31日,A-1 Pictures,入野自由、茅野愛衣、戸松遥、櫻井孝宏、早見沙織、近藤孝行
455,干物妹！うまるちゃん（TVアニメ動画）,79.0,1690,8383,3.8,3.6,3.8,3.9,3.8,4.1,TVアニメ動画,2015年夏アニメ,動画工房,田中あいみ、野島健児、影山灯、白石晴香、古川由利奈
456,魔法使いの嫁（TVアニメ動画）,79.0,868,3876,3.6,3.5,3.6,3.6,3.6,3.5,TVアニメ動画,2017年秋アニメ,WIT STUDIO,種﨑敦美、竹内良太、内山昂輝、遠藤綾
457,機動戦士ガンダム 第08MS小隊（OVA）,79.0,696,3693,3.9,4.0,3.9,3.9,4.0,4.0,OVA,1996年1月25日,www.08ms-team.net/,
458,Re：ゼロから始める異世界生活(第2期)（TVアニメ動画）,79.0,530,2222,3.8,3.7,3.8,3.9,3.7,3.8,TVアニメ動画,2020年夏アニメ,WHITE FOX,小林裕介、高橋李依、内山夕実、水瀬いのり、村川梨衣、新井里美、子安武人、赤﨑千夏、中村悠一、井口裕香、堀江由衣、堀内賢雄、植田佳奈、江口拓也、田村ゆかり、藤原啓治、能登麻美子、松岡禎丞、天﨑滉平
459,咲-Saki- 阿知賀編 episode of side-A（TVアニメ動画）,78.9,1739,8350,3.8,3.7,3.9,3.9,3.8,4.0,TVアニメ動画,2012年春アニメ,,
460,NHKにようこそ！／N・H・Kにようこそ！（TVアニメ動画）,78.9,1459,7589,3.8,4.0,3.5,3.7,3.7,3.9,TVアニメ動画,2006年夏アニメ,GONZO,小泉豊、牧野由依、阪口大助、小林沙苗、早水リサ
